,firefox_filtered_reviews,word_embeddeding,token_list
0,40 of my battery was used in 12 hours  no single app on my phone or a group of them uses that much  it says firefox used 40 of the battery since last charge 12 hours ago under restricted mode this is not good and probably have to force stop anytime im not using it to save my battery,"[101, 2871, 1997, 2026, 6046, 2001, 2109, 1999, 2260, 2847, 2053, 2309, 10439, 2006, 2026, 3042, 2030, 1037, 2177, 1997, 2068, 3594, 2008, 2172, 2009, 2758, 2543, 14876, 2595, 2109, 2871, 1997, 1996, 6046, 2144, 2197, 3715, 2260, 2847, 3283, 2104, 7775, 5549, 2023, 2003, 2025, 2204, 1998, 2763, 2031, 2000, 2486, 2644, 15933, 10047, 2025, 2478, 2009, 2000, 3828, 2026, 6046, 102]","['[CLS]', '40', 'of', 'my', 'battery', 'was', 'used', 'in', '12', 'hours', 'no', 'single', 'app', 'on', 'my', 'phone', 'or', 'a', 'group', 'of', 'them', 'uses', 'that', 'much', 'it', 'says', 'fire', '##fo', '##x', 'used', '40', 'of', 'the', 'battery', 'since', 'last', 'charge', '12', 'hours', 'ago', 'under', 'restricted', 'mode', 'this', 'is', 'not', 'good', 'and', 'probably', 'have', 'to', 'force', 'stop', 'anytime', 'im', 'not', 'using', 'it', 'to', 'save', 'my', 'battery', '[SEP]']"
1,promote all you want with turning red but the browser is still bad battery usage is still one of the highest amongst available browsers i guess not listening to feedback is also a skill,"[101, 5326, 2035, 2017, 2215, 2007, 3810, 2417, 2021, 1996, 16602, 2003, 2145, 2919, 6046, 8192, 2003, 2145, 2028, 1997, 1996, 3284, 5921, 2800, 16602, 2015, 1045, 3984, 2025, 5962, 2000, 12247, 2003, 2036, 1037, 8066, 102]","['[CLS]', 'promote', 'all', 'you', 'want', 'with', 'turning', 'red', 'but', 'the', 'browser', 'is', 'still', 'bad', 'battery', 'usage', 'is', 'still', 'one', 'of', 'the', 'highest', 'amongst', 'available', 'browser', '##s', 'i', 'guess', 'not', 'listening', 'to', 'feedback', 'is', 'also', 'a', 'skill', '[SEP]']"
2,almost awesome still for some reason no matter how many plugins i use or dont use pages still stall when they are a quarter loaded just sits there for a while then finishes loading every page every time on all devices i tested on atleast 6 phones and tablets all battery restricted settings off etc etc still gonna use it but its anoyying great product otherwise,"[101, 2471, 12476, 2145, 2005, 2070, 3114, 2053, 3043, 2129, 2116, 13354, 7076, 1045, 2224, 2030, 2123, 2102, 2224, 5530, 2145, 13498, 2043, 2027, 2024, 1037, 4284, 8209, 2074, 7719, 2045, 2005, 1037, 2096, 2059, 12321, 10578, 2296, 3931, 2296, 2051, 2006, 2035, 5733, 1045, 7718, 2006, 2012, 19738, 3367, 1020, 11640, 1998, 17596, 2035, 6046, 7775, 10906, 2125, 4385, 4385, 2145, 6069, 2224, 2009, 2021, 2049, 2019, 6977, 14147, 2307, 4031, 4728, 102]","['[CLS]', 'almost', 'awesome', 'still', 'for', 'some', 'reason', 'no', 'matter', 'how', 'many', 'plug', '##ins', 'i', 'use', 'or', 'don', '##t', 'use', 'pages', 'still', 'stall', 'when', 'they', 'are', 'a', 'quarter', 'loaded', 'just', 'sits', 'there', 'for', 'a', 'while', 'then', 'finishes', 'loading', 'every', 'page', 'every', 'time', 'on', 'all', 'devices', 'i', 'tested', 'on', 'at', '##lea', '##st', '6', 'phones', 'and', 'tablets', 'all', 'battery', 'restricted', 'settings', 'off', 'etc', 'etc', 'still', 'gonna', 'use', 'it', 'but', 'its', 'an', '##oy', '##ying', 'great', 'product', 'otherwise', '[SEP]']"
3,the background battery drain is baaaaad ive been using firefox on android never had much of an issue but in recent weeks ive found that firefox is eating through my battery more than any other app on my phone and i watch youtube for more hours per day than i do firefox this is a sign of an issue beyond my control i have disabled background data access closed all open tabs for now i am switching to beta to see if that helps,"[101, 1996, 4281, 6046, 12475, 2003, 8670, 11057, 11057, 2094, 4921, 2063, 2042, 2478, 2543, 14876, 2595, 2006, 11924, 2196, 2018, 2172, 1997, 2019, 3277, 2021, 1999, 3522, 3134, 4921, 2063, 2179, 2008, 2543, 14876, 2595, 2003, 5983, 2083, 2026, 6046, 2062, 2084, 2151, 2060, 10439, 2006, 2026, 3042, 1998, 1045, 3422, 7858, 2005, 2062, 2847, 2566, 2154, 2084, 1045, 2079, 2543, 14876, 2595, 2023, 2003, 1037, 3696, 1997, 2019, 3277, 3458, 2026, 2491, 1045, 2031, 9776, 4281, 2951, 3229, 2701, 2035, 2330, 21628, 2015, 2005, 2085, 1045, 2572, 11991, 2000, 8247, 2000, 2156, 2065, 2008, 7126, 102]","['[CLS]', 'the', 'background', 'battery', 'drain', 'is', 'ba', '##aa', '##aa', '##d', 'iv', '##e', 'been', 'using', 'fire', '##fo', '##x', 'on', 'android', 'never', 'had', 'much', 'of', 'an', 'issue', 'but', 'in', 'recent', 'weeks', 'iv', '##e', 'found', 'that', 'fire', '##fo', '##x', 'is', 'eating', 'through', 'my', 'battery', 'more', 'than', 'any', 'other', 'app', 'on', 'my', 'phone', 'and', 'i', 'watch', 'youtube', 'for', 'more', 'hours', 'per', 'day', 'than', 'i', 'do', 'fire', '##fo', '##x', 'this', 'is', 'a', 'sign', 'of', 'an', 'issue', 'beyond', 'my', 'control', 'i', 'have', 'disabled', 'background', 'data', 'access', 'closed', 'all', 'open', 'tab', '##s', 'for', 'now', 'i', 'am', 'switching', 'to', 'beta', 'to', 'see', 'if', 'that', 'helps', '[SEP]']"
4,animations waste a lot of time please add an option to turn them off one animation may be less than a second but if you use the app a lot of time those microseconds add up sheer waste of time plus it uses more cpu power sheer waste of cpu power,"[101, 7284, 2015, 5949, 1037, 2843, 1997, 2051, 3531, 5587, 2019, 5724, 2000, 2735, 2068, 2125, 2028, 7284, 2089, 2022, 2625, 2084, 1037, 2117, 2021, 2065, 2017, 2224, 1996, 10439, 1037, 2843, 1997, 2051, 2216, 12702, 3366, 8663, 5104, 5587, 2039, 11591, 5949, 1997, 2051, 4606, 2009, 3594, 2062, 17368, 2373, 11591, 5949, 1997, 17368, 2373, 102]","['[CLS]', 'animation', '##s', 'waste', 'a', 'lot', 'of', 'time', 'please', 'add', 'an', 'option', 'to', 'turn', 'them', 'off', 'one', 'animation', 'may', 'be', 'less', 'than', 'a', 'second', 'but', 'if', 'you', 'use', 'the', 'app', 'a', 'lot', 'of', 'time', 'those', 'micro', '##se', '##con', '##ds', 'add', 'up', 'sheer', 'waste', 'of', 'time', 'plus', 'it', 'uses', 'more', 'cpu', 'power', 'sheer', 'waste', 'of', 'cpu', 'power', '[SEP]']"
5,theres a bug only with firefox whenever i put my samsung phone into maximum power saving mode it limits apps so you can add a select few to your home screen when i add firefox it works fine but when i edit the layout to remove or add a new app firefox disappears so i have to stop and resume power saving mode just for it to reappear from the available apps i can add this only happens to firefox,"[101, 2045, 2015, 1037, 11829, 2069, 2007, 2543, 14876, 2595, 7188, 1045, 2404, 2026, 19102, 3042, 2046, 4555, 2373, 7494, 5549, 2009, 6537, 18726, 2061, 2017, 2064, 5587, 1037, 7276, 2261, 2000, 2115, 2188, 3898, 2043, 1045, 5587, 2543, 14876, 2595, 2009, 2573, 2986, 2021, 2043, 1045, 10086, 1996, 9621, 2000, 6366, 2030, 5587, 1037, 2047, 10439, 2543, 14876, 2595, 17144, 2061, 1045, 2031, 2000, 2644, 1998, 13746, 2373, 7494, 5549, 2074, 2005, 2009, 2000, 2128, 29098, 14644, 2013, 1996, 2800, 18726, 1045, 2064, 5587, 2023, 2069, 6433, 2000, 2543, 14876, 2595, 102]","['[CLS]', 'there', '##s', 'a', 'bug', 'only', 'with', 'fire', '##fo', '##x', 'whenever', 'i', 'put', 'my', 'samsung', 'phone', 'into', 'maximum', 'power', 'saving', 'mode', 'it', 'limits', 'apps', 'so', 'you', 'can', 'add', 'a', 'select', 'few', 'to', 'your', 'home', 'screen', 'when', 'i', 'add', 'fire', '##fo', '##x', 'it', 'works', 'fine', 'but', 'when', 'i', 'edit', 'the', 'layout', 'to', 'remove', 'or', 'add', 'a', 'new', 'app', 'fire', '##fo', '##x', 'disappears', 'so', 'i', 'have', 'to', 'stop', 'and', 'resume', 'power', 'saving', 'mode', 'just', 'for', 'it', 'to', 're', '##app', '##ear', 'from', 'the', 'available', 'apps', 'i', 'can', 'add', 'this', 'only', 'happens', 'to', 'fire', '##fo', '##x', '[SEP]']"
6,absolute trash why on earth would you want to store payment info please fix how much data is used  please sort out the bookmarks bookmarks are not user friendly at all it needs to remember your last location in bookmark folders instead of having to go through then again to get to where you just were difficult to access saved logins  get back to the page you were on i dont allow this to use battery in the background yet it still does  cant reorder top sites,"[101, 7619, 11669, 2339, 2006, 3011, 2052, 2017, 2215, 2000, 3573, 7909, 18558, 3531, 8081, 2129, 2172, 2951, 2003, 2109, 3531, 4066, 2041, 1996, 2338, 27373, 2338, 27373, 2024, 2025, 5310, 5379, 2012, 2035, 2009, 3791, 2000, 3342, 2115, 2197, 3295, 1999, 2338, 10665, 19622, 2015, 2612, 1997, 2383, 2000, 2175, 2083, 2059, 2153, 2000, 2131, 2000, 2073, 2017, 2074, 2020, 3697, 2000, 3229, 5552, 8833, 7076, 2131, 2067, 2000, 1996, 3931, 2017, 2020, 2006, 1045, 2123, 2102, 3499, 2023, 2000, 2224, 6046, 1999, 1996, 4281, 2664, 2009, 2145, 2515, 2064, 2102, 2128, 8551, 2121, 2327, 4573, 102]","['[CLS]', 'absolute', 'trash', 'why', 'on', 'earth', 'would', 'you', 'want', 'to', 'store', 'payment', 'info', 'please', 'fix', 'how', 'much', 'data', 'is', 'used', 'please', 'sort', 'out', 'the', 'book', '##marks', 'book', '##marks', 'are', 'not', 'user', 'friendly', 'at', 'all', 'it', 'needs', 'to', 'remember', 'your', 'last', 'location', 'in', 'book', '##mark', 'folder', '##s', 'instead', 'of', 'having', 'to', 'go', 'through', 'then', 'again', 'to', 'get', 'to', 'where', 'you', 'just', 'were', 'difficult', 'to', 'access', 'saved', 'log', '##ins', 'get', 'back', 'to', 'the', 'page', 'you', 'were', 'on', 'i', 'don', '##t', 'allow', 'this', 'to', 'use', 'battery', 'in', 'the', 'background', 'yet', 'it', 'still', 'does', 'can', '##t', 're', '##ord', '##er', 'top', 'sites', '[SEP]']"
7,unusable on samsung galaxy phones since 2021 major update fenix big fan of the app but after months of struggling it is ending up in the bin hello duck duck basically every time you leave firefox to use a 2fa app copy content from another app validate a payment in your bank app  and come back to it 3 seconds after all the tabs are reloaded and the current state is lost all battery optimisation settings set in favor of the app though,"[101, 4895, 10383, 3468, 2006, 19102, 9088, 11640, 2144, 25682, 2350, 10651, 21713, 7646, 2502, 5470, 1997, 1996, 10439, 2021, 2044, 2706, 1997, 8084, 2009, 2003, 4566, 2039, 1999, 1996, 8026, 7592, 9457, 9457, 10468, 2296, 2051, 2017, 2681, 2543, 14876, 2595, 2000, 2224, 1037, 1016, 7011, 10439, 6100, 4180, 2013, 2178, 10439, 9398, 3686, 1037, 7909, 1999, 2115, 2924, 10439, 1998, 2272, 2067, 2000, 2009, 1017, 3823, 2044, 2035, 1996, 21628, 2015, 2024, 2128, 17468, 1998, 1996, 2783, 2110, 2003, 2439, 2035, 6046, 23569, 27605, 26652, 10906, 2275, 1999, 5684, 1997, 1996, 10439, 2295, 102]","['[CLS]', 'un', '##usa', '##ble', 'on', 'samsung', 'galaxy', 'phones', 'since', '2021', 'major', 'update', 'fen', '##ix', 'big', 'fan', 'of', 'the', 'app', 'but', 'after', 'months', 'of', 'struggling', 'it', 'is', 'ending', 'up', 'in', 'the', 'bin', 'hello', 'duck', 'duck', 'basically', 'every', 'time', 'you', 'leave', 'fire', '##fo', '##x', 'to', 'use', 'a', '2', '##fa', 'app', 'copy', 'content', 'from', 'another', 'app', 'valid', '##ate', 'a', 'payment', 'in', 'your', 'bank', 'app', 'and', 'come', 'back', 'to', 'it', '3', 'seconds', 'after', 'all', 'the', 'tab', '##s', 'are', 're', '##loaded', 'and', 'the', 'current', 'state', 'is', 'lost', 'all', 'battery', 'opt', '##imi', '##sation', 'settings', 'set', 'in', 'favor', 'of', 'the', 'app', 'though', '[SEP]']"
8,is using too much battery is top 1 on my cell without too much use i had to limit the background battery usage,"[101, 2003, 2478, 2205, 2172, 6046, 2003, 2327, 1015, 2006, 2026, 3526, 2302, 2205, 2172, 2224, 1045, 2018, 2000, 5787, 1996, 4281, 6046, 8192, 102]","['[CLS]', 'is', 'using', 'too', 'much', 'battery', 'is', 'top', '1', 'on', 'my', 'cell', 'without', 'too', 'much', 'use', 'i', 'had', 'to', 'limit', 'the', 'background', 'battery', 'usage', '[SEP]']"
9,just works seems recently doesnt even eat too much battery,"[101, 2074, 2573, 3849, 3728, 2987, 2102, 2130, 4521, 2205, 2172, 6046, 102]","['[CLS]', 'just', 'works', 'seems', 'recently', 'doesn', '##t', 'even', 'eat', 'too', 'much', 'battery', '[SEP]']"
