Title,View
"
      iOS badge counter shows unread messages, even when all chats are read
    ",Badge counters inside the app and on the app's icon may sometimes show unread messages while there are no unread chats in the list. Workaround Tap 10 times on the Settings tab icon > Reindex Unread Counters.…
"
      [Android 11+ SDK 30] Auto save to gallery does not work
    ","Despite the fact the 'Save to Gallery' option is enabled in Settings > Chat Settings, still I don't see media in my phone's gallery. Steps to reproduce 1. Enable 'Save to Gallery' in Settings > Chat Settings …"
"
      Automatic saving of incoming photos doesn't work
    ","Workaround Disable Automatic Media Download and manually download the images. Automatic saving of incoming photos doesn't work, after the February update (v 7.5) Sometimes random old photo from telegram…"
"
      Telegram downloads images instead of using bitmap data from clipboard
    ","When I paste an image copied from Firefox, Telegram downloads it again instead of using the bitmap data from the clipboard. This happens because the clipboard also stores the image URL. If I paste the…"
"
      Inline keyboard buttons become unresponsive when the menu is edited after tapping on a button
    ","Workaround Rotate your phone and then tap on the desired button. Inline keyboard buttons become unresponsive with the new ""menu transition"" animation that appears when the menu is edited after tapping…"
"
      Endless loading wheel at t.me links
    ","My users regularly write about the ""infinite loading"" issue. There is an inline button with a link https://t.me/<bot_username> User clicks on it and the Telegram client freezes with a spinning loading…"
"
      Verifybot
    ","in the telegram channel verification bot, an error occurs when filling out the verification application.  I filled out the channel verification application in half and accidentally stopped the bot.  Now…"
"
      Manual ""Save to gallery"" command does not work
    ","Steps to reproduce 1. Open any chat 2. Select a picture or a video, press ""..."" and choose ""Save to gallery"". 3. Notyhing is saved to gallery. Device info Telegram Android 8.2.1 (24627), Samsung Galaxy…"
"
      ""You have a new message"" notifications in Notification Center
    ",Workaround Restarting the device should fix the issue. Notifications will arrive with proper message previews after reboot.  'You have a new message' notifications arrive instead of regular notifications…
"
      Mobile notifications when active on desktop
    ","When I'm actively chatting on the desktop app, if I get notifications in another chat, my phone rings for every notification, even though I'm active on the Desktop. There should be an idle period before…"
"
      x2 speed sound distortion in Desktop
    ","x2 speed distorts audio in an unusual way Makes speech specially bad, but this sample of white noise shows enough Steps to reproduce 1. any chat 2. any playable media 3. Speed it up to x2 4. Notice the…"
"
      Downloaded files (cache folder) are not visible from File Manager apps
    ","What is happening? Due to the new Android system restrictions, downloaded files are now stored in storage/Android/data/org.telegram.messenger/cache. Its visibility will depend on file manager app's permission…"
"
      First start command of a bot doesn't contain the language of the user
    ",First start command message of a BOT doesn't receive the language of the user client Steps to reproduce Start a new bot Current result Bot receive the start message update without language_code field…
"
      Sorting by original date for Imported Messages
    ","When you import chat history into a chat from other apps, imported messages will be sorted by original sending date and merged with existing messages in: - Newly created 1-on-1 and group chats. - Any…"
